"","id","check_out_time","date","intake.time","household_size","pounds.of.food","max_temp","min_temp","avg_temp","weekday","rain","HH.ID..use.this.to.match.with.ages.and.receipt.of.food.stamps.on.other.sheets.","town....Temp..means.homeless.","WIC","Fuel.Assist","Masshealth","usual.transportation","monthly.household.income","language.spoken.at.home","num.of.people.that.day"
"1",10635,"13:56:00","4/3/17","12:33",2,61,62,26,44,1,0,635,"Southampton",FALSE,TRUE,TRUE,"car","$1,794.00 ","English",42
"2",11090,"14:13:00","4/3/17","13:26",1,42.5,62,26,44,1,0,1090,"Hatfield",FALSE,FALSE,TRUE,"car","$981.00 ","English",42
"3",11221,"13:43:00","4/3/17","12:27",1,37,62,26,44,1,0,1221,"Northampton",FALSE,TRUE,TRUE,"scooter","$890.00 ","English",42
"4",11439,"13:22:00","4/3/17","12:14",2,76.5,62,26,44,1,0,1439,"Northampton",FALSE,FALSE,TRUE,"car","$1,933.00 ","Spanish",42
"5",11593,"14:09:00","4/3/17","13:24",1,44.5,62,26,44,1,0,1593,"Easthampton",FALSE,TRUE,TRUE,"car","$1,251.00 ","English",42
"6",11633,"12:24:00","4/3/17","11:43",5,166.5,62,26,44,1,0,1633,"Hadley",FALSE,FALSE,TRUE,"car","$2,180.00 ","Spanish",42
"7",11780,"13:39:00","4/3/17","12:25",1,21.5,62,26,44,1,0,1780,"Northampton",FALSE,FALSE,TRUE,"walk","$910.00 ","English",42
"8",12165,"13:25:00","4/3/17","12:19",1,40,62,26,44,1,0,2165,"Northampton",FALSE,TRUE,TRUE,"car","$980.00 ","English",42
"9",12841,"13:02:00","4/3/17","11:53",1,42,62,26,44,1,0,2841,"Northampton",FALSE,FALSE,TRUE,"car","$863.00 ","English",42
"10",13985,"14:00:00","4/3/17","13:16",1,30.5,62,26,44,1,0,3985,"Easthampton",FALSE,FALSE,TRUE,"car","$955.00 ","English",42
"11",15801,"13:42:00","4/3/17","12:24",4,135,62,26,44,1,0,5801,"Southampton",FALSE,TRUE,TRUE,"car","$1,100.00 ","English",42
"12",16237,"12:16:00","4/3/17","11:32",2,82,62,26,44,1,0,6237,"Northampton",FALSE,FALSE,FALSE,"car","$2,120.00 ","English",42
"13",16243,"12:49:00","4/3/17","11:47",1,38,62,26,44,1,0,6243,"Easthampton",FALSE,TRUE,FALSE,"car","$1,050.00 ","English",42
"15",16862,"11:50:00","4/3/17","11:14",1,43.5,62,26,44,1,0,6862,"South Hadley",FALSE,FALSE,FALSE,"car","$1,725.00 ","English",42
