,id,(string)check_out_time,(date)checkout_time,check_out_time,date,(string)intake_time,(date)intake.time,intake.time,open_time,(string)time_arrived,(date)2,4:00,11:00,(date)11,(date)time_arrived,time.arrived,waiting_time,before/after_opentime,before_after(new),total_watiting_time ,total(minutes),intake_waiting_time,household_size,pounds.of.food,max_temp,min_temp,avg_temp,weekday,rain,HH.ID..use.this.to.match.with.ages.and.receipt.of.food.stamps.on.other.sheets.,town....Temp..means.homeless.,WIC,Fuel.Assist,Masshealth,usual.transportation,monthly.household.income,language.spoken.at.home,num.of.people.that.day
21,19751,11:19,5/1/17 11:19,11:19,5/1/17,11:00,5/1/17 11:00,11:00,11:00,9:00,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 9:00,9:00,2:00,-120,before,2:19,139,120,3,81,62,45,52,1,0,9751,Easthampton,FALSE,FALSE,TRUE,car,$511.00,English,31
12,18203,11:23,5/1/17 11:23,11:23,5/1/17,11:04,5/1/17 11:04,11:04,11:00,9:40,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 9:40,9:40,1:24,-80,before,1:43,103,84,4,91,62,45,52,1,0,8203,Northampton,FALSE,TRUE,TRUE,car,"$1,211.00",English,31
6,15896,11:24,5/1/17 11:24,11:24,5/1/17,11:05,5/1/17 11:05,11:05,11:00,9:50,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 9:50,9:50,1:15,-70,before,1:34,94,75,1,54.5,62,45,52,1,0,5896,Northampton,FALSE,FALSE,TRUE,bus,$912.00,English,31
14,18634,11:28,5/1/17 11:28,11:28,5/1/17,11:08,5/1/17 11:08,11:08,11:00,10:00,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 10:00,10:00,1:08,-60,before,1:28,88,68,1,57.5,62,45,52,1,0,8634,Northampton,FALSE,FALSE,TRUE,car,"$1,235.00",Spanish,31
10,18135,11:35,5/1/17 11:35,11:35,5/1/17,11:10,5/1/17 11:10,11:10,11:00,10:30,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 10:30,10:30,0:40,-30,before,1:05,65,40,1,36,62,45,52,1,0,8135,Easthampton,FALSE,FALSE,FALSE,car,"$1,351.00",English,31
11,18200,12:08,5/1/17 12:08,12:08,5/1/17,11:26,5/1/17 11:26,11:26,11:00,10:30,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 10:30,10:30,0:56,-30,before,1:38,98,56,2,39.5,62,45,52,1,0,8200,Easthampton,FALSE,FALSE,TRUE,car,$877.00,English,31
22,19766,11:59,5/1/17 11:59,11:59,5/1/17,11:14,5/1/17 11:14,11:14,11:00,10:45,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 10:45,10:45,0:29,-15,before,1:14,74,29,6,163.5,62,45,52,1,0,9766,Northampton,FALSE,FALSE,TRUE,car,"$1,531.00",English,31
26,19921,11:49,5/1/17 11:49,11:49,5/1/17,11:17,5/1/17 11:17,11:17,11:00,10:45,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 10:45,10:45,0:32,-15,before,1:04,64,32,3,66.5,62,45,52,1,0,9921,Northampton,FALSE,FALSE,TRUE,car,"$1,654.00",English,31
15,18904,11:57,5/1/17 11:57,11:57,5/1/17,11:20,5/1/17 11:20,11:20,11:00,10:45,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 10:45,10:45,0:35,-15,before,1:12,72,35,2,84,62,45,52,1,0,8904,Williamsburg,FALSE,FALSE,TRUE,car,"$1,600.00",English,31
28,19946,12:01,5/1/17 12:01,12:01,5/1/17,11:22,5/1/17 11:22,11:22,11:00,10:50,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 10:50,10:50,0:32,-10,before,1:11,71,32,1,86,62,45,52,1,0,9946,Easthampton,FALSE,FALSE,TRUE,car,"$1,145.00",English,31
1,11205,12:06,5/1/17 12:06,12:06,5/1/17,11:33,5/1/17 11:33,11:33,11:00,10:54,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 10:54,10:54,0:39,-6,before,1:12,72,39,2,55.5,62,45,52,1,0,1205,Northampton,FALSE,FALSE,TRUE,car,"$3,132.00",English,31
16,19414,12:23,5/1/17 12:23,12:23,5/1/17,11:37,5/1/17 11:37,11:37,11:00,10:55,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 10:55,10:55,0:42,-5,before,1:28,88,42,3,92,62,45,52,1,0,9414,Northampton,FALSE,FALSE,TRUE,car,"$2,470.00",English,31
17,19445,12:16,5/1/17 12:16,12:16,5/1/17,11:38,5/1/17 11:38,11:38,11:00,11:05,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 11:05,11:05,0:33,5,after,1:11,71,33,1,52.5,62,45,52,1,0,9445,Easthampton,FALSE,FALSE,TRUE,car,$150.00,English,31
7,16506,12:21,5/1/17 12:21,12:21,5/1/17,11:43,5/1/17 11:43,11:43,11:00,11:08,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 11:08,11:08,0:35,8,after,1:13,73,35,1,47,62,45,52,1,0,6506,Northampton,FALSE,FALSE,TRUE,walk,$190.00,English,31
3,11780,12:24,5/1/17 12:24,12:24,5/1/17,11:58,5/1/17 11:58,11:58,11:00,11:25,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 11:25,11:25,0:33,25,after,0:59,59,33,1,18,62,45,52,1,0,1780,Northampton,FALSE,FALSE,TRUE,walk,$910.00,English,31
4,12841,12:42,5/1/17 12:42,12:42,5/1/17,12:00,5/1/17 12:00,12:00,11:00,11:36,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 11:36,11:36,0:24,36,after,1:06,66,24,1,51.5,62,45,52,1,0,2841,Northampton,FALSE,FALSE,TRUE,car,$863.00,English,31
9,17557,12:48,5/1/17 12:48,12:48,5/1/17,12:07,5/1/17 12:07,12:07,11:00,11:43,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 11:43,11:43,0:24,43,after,1:05,65,24,1,29,62,45,52,1,0,7557,Northampton,FALSE,TRUE,FALSE,car,"$1,495.00",English,31
27,19931,12:50,5/1/17 12:50,12:50,5/1/17,12:08,5/1/17 12:08,12:08,11:00,11:48,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 11:48,11:48,0:20,48,after,1:02,62,20,1,41.5,62,45,52,1,0,9931,Easthampton,FALSE,FALSE,FALSE,car,"$1,300.00",English,31
13,18536,12:58,5/1/17 12:58,12:58,5/1/17,12:12,5/1/17 12:12,12:12,11:00,12:02,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 12:02,12:02,0:10,62,after,0:56,56,10,3,122.5,62,45,52,1,0,8536,Northampton,FALSE,FALSE,FALSE,car,"$2,231.00",English,31
2,11330,13:14,5/1/17 13:14,13:14,5/1/17,12:27,5/1/17 12:27,12:27,11:00,12:26,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 12:26,12:26,0:01,86,after,0:48,48,1,5,155.5,62,45,52,1,0,1330,Easthampton,FALSE,TRUE,TRUE,car,"$3,265.00",English,31
20,19723,13:10,5/1/17 13:10,13:10,5/1/17,12:30,5/1/17 12:30,12:30,11:00,12:29,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 12:29,12:29,0:01,89,after,0:41,41,1,2,52,62,45,52,1,0,9723,Easthampton,FALSE,FALSE,TRUE,car,$407.00,English,31
25,19913,14:13,5/1/17 14:13,14:13,5/1/17,13:22,5/1/17 13:22,13:22,11:00,12:40,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 12:40,12:40,0:42,100,after,1:33,93,42,1,25.5,62,45,52,1,0,9913,Temp,FALSE,FALSE,FALSE,car,"$1,216.00",English,31
30,19954,14:17,5/1/17 14:17,14:17,5/1/17,13:11,5/1/17 13:11,13:11,11:00,12:45,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 12:45,12:45,0:26,105,after,1:32,92,26,1,47.5,62,45,52,1,0,9954,Temp,FALSE,FALSE,FALSE,car,$194.00,English,31
31,19955,14:17,5/1/17 14:17,14:17,5/1/17,13:20,5/1/17 13:20,13:20,11:00,12:50,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 12:50,12:50,0:30,110,after,1:27,87,30,1,30.5,62,45,52,1,0,9955,Temp,FALSE,FALSE,TRUE,car,$289.00,English,31
29,19952,14:18,5/1/17 14:18,14:18,5/1/17,17:17,5/1/17 17:17,17:17,11:00,12:53,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 12:53,12:53,4:24,113,after,1:25,85,264,1,63.5,62,45,52,1,0,9952,Temp,FALSE,FALSE,FALSE,car,$194.00,English,31
19,19533,13:52,5/1/17 13:52,13:52,5/1/17,13:24,5/1/17 13:24,13:24,11:00,13:00,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 13:00,13:00,0:24,120,after,0:52,52,24,1,48.5,62,45,52,1,0,9533,Northampton,FALSE,FALSE,TRUE,car,$300.00,English,31
24,19784,13:45,5/1/17 13:45,13:45,5/1/17,13:24,5/1/17 13:24,13:24,11:00,13:00,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 13:00,13:00,0:24,120,after,0:45,45,24,1,55,62,45,52,1,0,9784,Temp,FALSE,FALSE,TRUE,walk,$194.00,English,31
8,17165,13:52,5/1/17 13:52,13:52,5/1/17,13:27,5/1/17 13:27,13:27,11:00,13:10,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 13:10,13:10,0:17,130,after,0:42,42,17,1,46,62,45,52,1,0,7165,Northampton,FALSE,FALSE,TRUE,walk,$983.00,English,31
18,19462,13:59,5/1/17 13:59,13:59,5/1/17,13:27,5/1/17 13:27,13:27,11:00,13:10,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 13:10,13:10,0:17,130,after,0:49,49,17,1,46.5,62,45,52,1,0,9462,Temp,FALSE,FALSE,TRUE,car,$795.00,English,31
5,15553,14:04,5/1/17 14:04,14:04,5/1/17,13:31,5/1/17 13:31,13:31,11:00,13:11,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 13:11,13:11,0:20,131,after,0:53,53,20,1,19.5,62,45,52,1,0,5553,Northampton,FALSE,FALSE,TRUE,bike,$732.00,English,31
23,19775,14:06,5/1/17 14:06,14:06,5/1/17,13:36,5/1/17 13:36,13:36,11:00,13:26,5/1/17 16:00,16:00,11:00,5/1/17 11:00,5/1/17 13:26,13:26,0:10,146,after,0:40,40,10,1,49,62,45,52,1,0,9775,Northampton,FALSE,FALSE,FALSE,bike,$0.00,English,31
50,19177,16:18,5/2/17 16:18,16:18,5/2/17,16:00,5/2/17 16:00,16:00,16:00,14:00,5/2/17 16:00,16:00,11:00,5/2/17 11:00,5/2/17 14:00,14:00,2:00,-120,before,2:18,138,120,1,99,73,48,61,2,1,9177,Northampton,FALSE,FALSE,TRUE,bike,$494.00,English,28
35,12084,16:37,5/2/17 16:37,16:37,5/2/17,16:08,5/2/17 16:08,16:08,16:00,14:45,5/2/17 16:00,16:00,11:00,5/2/17 11:00,5/2/17 14:45,14:45,1:23,-75,before,1:52,112,83,4,79,73,48,61,2,1,2084,Northampton,FALSE,FALSE,TRUE,walk,"$3,766.00",English,28
39,14055,16:38,5/2/17 16:38,16:38,5/2/17,16:08,5/2/17 16:08,16:08,16:00,15:00,5/2/17 16:00,16:00,11:00,5/2/17 11:00,5/2/17 15:00,15:00,1:08,-60,before,1:38,98,68,1,65.5,73,48,61,2,1,4055,Temp,FALSE,FALSE,TRUE,car,$866.00,English,28
53,19824,16:41,5/2/17 16:41,16:41,5/2/17,16:10,5/2/17 16:10,16:10,16:00,15:00,5/2/17 16:00,16:00,11:00,5/2/17 11:00,5/2/17 15:00,15:00,1:10,-60,before,1:41,101,70,1,52,73,48,61,2,1,9824,Northampton,FALSE,FALSE,FALSE,car,"$1,230.00",English,28
44,17540,16:39,5/2/17 16:39,16:39,5/2/17,16:14,5/2/17 16:14,16:14,16:00,15:00,5/2/17 16:00,16:00,11:00,5/2/17 11:00,5/2/17 15:00,15:00,1:14,-60,before,1:39,99,74,1,48,73,48,61,2,1,7540,Northampton,FALSE,TRUE,TRUE,walk,$970.00,English,28
32,11647,16:50,5/2/17 16:50,16:50,5/2/17,16:17,5/2/17 16:17,16:17,16:00,15:20,5/2/17 16:00,16:00,11:00,5/2/17 11:00,5/2/17 15:20,15:20,0:57,-40,before,1:30,90,57,1,66,73,48,61,2,1,1647,Northampton,FALSE,FALSE,FALSE,bus,"$1,330.00",English,28
55,19950,16:48,5/2/17 16:48,16:48,5/2/17,16:17,5/2/17 16:17,16:17,16:00,15:30,5/2/17 16:00,16:00,11:00,5/2/17 11:00,5/2/17 15:30,15:30,0:47,-30,before,1:18,78,47,1,69.5,73,48,61,2,1,9950,Northampton,FALSE,FALSE,FALSE,walk,$803.00,English,28
56,19956,17:03,5/2/17 17:03,17:03,5/2/17,16:22,5/2/17 16:22,16:22,16:00,15:30,5/2/17 16:00,16:00,11:00,5/2/17 11:00,5/2/17 15:30,15:30,0:52,-30,before,1:33,93,52,3,140,73,48,61,2,1,9956,South Hadley,FALSE,TRUE,TRUE,car,"$1,367.00",English,28
51,19303,16:56,5/2/17 16:56,16:56,5/2/17,16:29,5/2/17 16:29,16:29,16:00,15:30,5/2/17 16:00,16:00,11:00,5/2/17 11:00,5/2/17 15:30,15:30,0:59,-30,before,1:26,86,59,2,129,73,48,61,2,1,9303,Northampton,FALSE,FALSE,FALSE,car,"$1,473.00",English,28
38,12610,17:13,5/2/17 17:13,17:13,5/2/17,16:31,5/2/17 16:31,16:31,16:00,15:50,5/2/17 16:00,16:00,11:00,5/2/17 11:00,5/2/17 15:50,15:50,0:41,-10,before,1:23,83,41,2,67.5,73,48,61,2,1,2610,Easthampton,FALSE,TRUE,TRUE,car,"$1,764.00",English,28
40,14412,17:02,5/2/17 17:02,17:02,5/2/17,16:35,5/2/17 16:35,16:35,16:00,15:50,5/2/17 16:00,16:00,11:00,5/2/17 11:00,5/2/17 15:50,15:50,0:45,-10,before,1:12,72,45,1,140,73,48,61,2,1,4412,Easthampton,FALSE,FALSE,TRUE,car,$956.00,English,28
33,11687,17:10,5/2/17 17:10,17:10,5/2/17,16:43,5/2/17 16:43,16:43,16:00,15:55,5/2/17 16:00,16:00,11:00,5/2/17 11:00,5/2/17 15:55,15:55,0:48,-5,before,1:15,75,48,1,32,73,48,61,2,1,1687,Easthampton,FALSE,TRUE,TRUE,car,"$1,308.00",English,28
48,19086,17:11,5/2/17 17:11,17:11,5/2/17,16:43,5/2/17 16:43,16:43,16:00,16:00,5/2/17 16:00,16:00,11:00,5/2/17 11:00,5/2/17 16:00,16:00,0:43,0,after,1:11,71,43,1,34.5,73,48,61,2,1,9086,Easthampton,FALSE,FALSE,FALSE,car,$715.00,English,28
