"","id","check_out_time","date","intake.time","household_size","pounds.of.food","max_temp","min_temp","avg_temp","weekday","rain","HH.ID..use.this.to.match.with.ages.and.receipt.of.food.stamps.on.other.sheets.","town....Temp..means.homeless.","WIC","Fuel.Assist","Masshealth","usual.transportation","monthly.household.income($)","language.spoken.at.home","num.of.people.that.day","income.per.person($)","level.of.income","English.speaker","car","level.of.num.of.ppl","Northampton"
"1",10635,"13:56:00","4/3/17","12:33",2,61,62,26,44,1,0,635,"Southampton",FALSE,TRUE,TRUE,"car",1794,"English",42," 897.00","MedHigh","TRUE","TRUE","Above","FALSE"
"2",11090,"14:13:00","4/3/17","13:26",1,42.5,62,26,44,1,0,1090,"Hatfield",FALSE,FALSE,TRUE,"car",981,"English",42," 981.00","MedHigh","TRUE","TRUE","Above","FALSE"
"3",11221,"13:43:00","4/3/17","12:27",1,37,62,26,44,1,0,1221,"Northampton",FALSE,TRUE,TRUE,"scooter",890,"English",42," 890.00","MedHigh","TRUE","FALSE","Above","TRUE"
"4",11439,"13:22:00","4/3/17","12:14",2,76.5,62,26,44,1,0,1439,"Northampton",FALSE,FALSE,TRUE,"car",1933,"Spanish",42," 966.00","MedHigh","FALSE","TRUE","Above","TRUE"
"5",11593,"14:09:00","4/3/17","13:24",1,44.5,62,26,44,1,0,1593,"Easthampton",FALSE,TRUE,TRUE,"car",1251,"English",42,"1251.00","High","TRUE","TRUE","Above","FALSE"
"6",11633,"12:24:00","4/3/17","11:43",5,166.5,62,26,44,1,0,1633,"Hadley",FALSE,FALSE,TRUE,"car",2180,"Spanish",42," 436.00","LowMed","FALSE","TRUE","Above","FALSE"
"7",11780,"13:39:00","4/3/17","12:25",1,21.5,62,26,44,1,0,1780,"Northampton",FALSE,FALSE,TRUE,"walk",910,"English",42," 910.00","MedHigh","TRUE","FALSE","Above","TRUE"
"8",12165,"13:25:00","4/3/17","12:19",1,40,62,26,44,1,0,2165,"Northampton",FALSE,TRUE,TRUE,"car",980,"English",42," 980.00","MedHigh","TRUE","TRUE","Above","TRUE"
"9",12841,"13:02:00","4/3/17","11:53",1,42,62,26,44,1,0,2841,"Northampton",FALSE,FALSE,TRUE,"car",863,"English",42," 863.00","Med","TRUE","TRUE","Above","TRUE"
"10",13985,"14:00:00","4/3/17","13:16",1,30.5,62,26,44,1,0,3985,"Easthampton",FALSE,FALSE,TRUE,"car",955,"English",42," 955.00","MedHigh","TRUE","TRUE","Above","FALSE"
"11",15801,"13:42:00","4/3/17","12:24",4,135,62,26,44,1,0,5801,"Southampton",FALSE,TRUE,TRUE,"car",1100,"English",42," 275.00","Low","TRUE","TRUE","Above","FALSE"
"12",16237,"12:16:00","4/3/17","11:32",2,82,62,26,44,1,0,6237,"Northampton",FALSE,FALSE,FALSE,"car",2120,"English",42,"1060.00","High","TRUE","TRUE","Above","TRUE"
"13",16243,"12:49:00","4/3/17","11:47",1,38,62,26,44,1,0,6243,"Easthampton",FALSE,TRUE,FALSE,"car",1050,"English",42,"1050.00","MedHigh","TRUE","TRUE","Above","FALSE"
"14",16862,"11:50:00","4/3/17","11:14",1,43.5,62,26,44,1,0,6862,"South Hadley",FALSE,FALSE,FALSE,"car",1725,"English",42,"1725.00","High","TRUE","TRUE","Above","FALSE"
"15",16869,"13:28:00","4/3/17","12:22",1,37.5,62,26,44,1,0,6869,"Northampton",FALSE,FALSE,TRUE,"walk",1382,"English",42,"1382.00","High","TRUE","FALSE","Above","TRUE"
"16",17323,"14:02:00","4/3/17","13:15",1,32.5,62,26,44,1,0,7323,"Hadley",FALSE,FALSE,FALSE,"car",1051,"English",42,"1051.00","High","TRUE","TRUE","Above","FALSE"
"17",17906,"12:36:00","4/3/17","11:44",2,79,62,26,44,1,0,7906,"Plainfield",FALSE,TRUE,TRUE,"car",1720,"English",42," 860.00","Med","TRUE","TRUE","Above","FALSE"
"18",17973,"13:18:00","4/3/17","12:13",4,73.5,62,26,44,1,0,7973,"Huntington",FALSE,FALSE,TRUE,"car",883,"English",42," 221.00","Low","TRUE","TRUE","Above","FALSE"
"19",18135,"11:48:00","4/3/17","11:18",1,55,62,26,44,1,0,8135,"Easthampton",FALSE,FALSE,FALSE,"car",1351,"English",42,"1351.00","High","TRUE","TRUE","Above","FALSE"
"20",18237,"11:45:00","4/3/17","11:10",2,103,62,26,44,1,0,8237,"Hatfield",FALSE,TRUE,TRUE,"car",2017,"English",42,"1008.00","MedHigh","TRUE","TRUE","Above","FALSE"
"21",18536,"11:22:00","4/3/17","11:01",3,134,62,26,44,1,0,8536,"Northampton",FALSE,FALSE,FALSE,"car",2231,"English",42," 744.00","Med","TRUE","TRUE","Above","TRUE"
"22",18539,"13:14:00","4/3/17","12:17",2,84,62,26,44,1,0,8539,"Easthampton",FALSE,TRUE,TRUE,"car",1040,"English",42," 520.00","LowMed","TRUE","TRUE","Above","FALSE"
"23",18576,"14:39:00","4/3/17","14:25",4,97,62,26,44,1,0,8576,"Easthampton",FALSE,TRUE,TRUE,"car",3723,"English",42," 931.00","MedHigh","TRUE","TRUE","Above","FALSE"
"24",18794,"14:19:00","4/3/17","13:32",1,39.5,62,26,44,1,0,8794,"Northampton",FALSE,FALSE,TRUE,"car",946,"English",42," 946.00","MedHigh","TRUE","TRUE","Above","TRUE"
"25",18800,"14:05:00","4/3/17","13:21",1,50.5,62,26,44,1,0,8800,"Northampton",FALSE,FALSE,FALSE,"car",1513,"English",42,"1513.00","High","TRUE","TRUE","Above","TRUE"
"26",18808,"11:35:00","4/3/17","11:03",1,41.5,62,26,44,1,0,8808,"Northampton",FALSE,FALSE,TRUE,"car",989,"English",42," 989.00","MedHigh","TRUE","TRUE","Above","TRUE"
"27",19229,"12:40:00","4/3/17","11:49",3,84.5,62,26,44,1,0,9229,"Northampton",FALSE,FALSE,TRUE,"car",2227,"English",42," 742.00","Med","TRUE","TRUE","Above","TRUE"
"28",19414,"14:04:00","4/3/17","12:58",3,92,62,26,44,1,0,9414,"Northampton",FALSE,FALSE,TRUE,"car",2470,"English",42," 823.00","Med","TRUE","TRUE","Above","TRUE"
"29",19481,"12:14:00","4/3/17","11:30",4,125.5,62,26,44,1,0,9481,"South Hadley",TRUE,TRUE,TRUE,"car",2844,"English",42," 711.00","Med","TRUE","TRUE","Above","FALSE"
"30",19614,"12:16:00","4/3/17","11:41",1,26.5,62,26,44,1,0,9614,"Easthampton",FALSE,TRUE,TRUE,"car",0,"English",42,"   0.00","Low","TRUE","TRUE","Above","FALSE"
"31",19752,"11:58:00","4/3/17","11:19",1,50,62,26,44,1,0,9752,"Temp",FALSE,FALSE,TRUE,"car",1884,"English",42,"1884.00","High","TRUE","TRUE","Above","FALSE"
"32",19760,"12:39:00","4/3/17","11:52",1,51,62,26,44,1,0,9760,"Northampton",FALSE,FALSE,TRUE,"car",0,"English",42,"   0.00","Low","TRUE","TRUE","Above","TRUE"
"33",19766,"13:20:00","4/3/17","12:11",6,70.5,62,26,44,1,0,9766,"Northampton",FALSE,FALSE,TRUE,"car",1531,"English",42," 255.00","Low","TRUE","TRUE","Above","TRUE"
"34",19884,"13:32:00","4/3/17","12:36",2,68,62,26,44,1,0,9884,"Northampton",FALSE,FALSE,TRUE,"car",0,"English",42,"   0.00","Low","TRUE","TRUE","Above","TRUE"
"35",19920,"12:04:00","4/3/17","11:22",1,71.5,62,26,44,1,0,9920,"Easthampton",FALSE,FALSE,FALSE,"car",0,"English",42,"   0.00","Low","TRUE","TRUE","Above","FALSE"
"36",19921,"13:12:00","4/3/17","11:57",3,91,62,26,44,1,0,9921,"Northampton",FALSE,FALSE,TRUE,"car",1654,"English",42," 551.00","LowMed","TRUE","TRUE","Above","TRUE"
"37",10776,"16:38:00","4/4/17","16:03",3,76,47,37,42,2,1,776,"Easthampton",FALSE,TRUE,TRUE,"car",2140,"English",31," 713.00","Med","TRUE","TRUE","Less","FALSE"
"38",11205,"18:23:00","4/4/17","17:40",2,62.5,47,37,42,2,1,1205,"Northampton",FALSE,FALSE,TRUE,"car",3132,"English",31,"1566.00","High","TRUE","TRUE","Less","TRUE"
"39",11540,"18:32:00","4/4/17","18:35",1,46,47,37,42,2,1,1540,"Easthampton",FALSE,FALSE,TRUE,"car",944,"English",31," 944.00","MedHigh","TRUE","TRUE","Less","FALSE"
"40",11647,"16:47:00","4/4/17","16:10",1,50.5,47,37,42,2,1,1647,"Northampton",FALSE,FALSE,FALSE,"bus",1330,"English",31,"1330.00","High","TRUE","FALSE","Less","TRUE"
"41",11691,"17:23:00","4/4/17","16:28",2,98.5,47,37,42,2,1,1691,"Easthampton",FALSE,FALSE,TRUE,"car",2135,"English",31,"1068.00","High","TRUE","TRUE","Less","FALSE"
"42",11894,"18:47:00","4/4/17","18:27",4,92,47,37,42,2,1,1894,"Northampton",TRUE,TRUE,TRUE,"car",1170,"English",31," 292.00","Low","TRUE","TRUE","Less","TRUE"
"43",11936,"17:42:00","4/4/17","16:42",3,76,47,37,42,2,1,1936,"Easthampton",TRUE,TRUE,TRUE,"car",2000,"English",31," 667.00","Med","TRUE","TRUE","Less","FALSE"
"44",12646,"19:19:00","4/4/17","18:52",6,122,47,37,42,2,1,2646,"Northampton",FALSE,FALSE,TRUE,"car",3300,"English",31," 550.00","LowMed","TRUE","TRUE","Less","TRUE"
"45",13692,"16:49:00","4/4/17","16:06",1,27,47,37,42,2,1,3692,"Northampton",FALSE,FALSE,TRUE,"car",1001,"English",31,"1001.00","MedHigh","TRUE","TRUE","Less","TRUE"
"46",14111,"17:46:00","4/4/17","16:37",4,123,47,37,42,2,1,4111,"Northampton",FALSE,FALSE,TRUE,"car",1450,"English",31," 362.00","LowMed","TRUE","TRUE","Less","TRUE"
"47",14980,"17:52:00","4/4/17","17:21",1,57.5,47,37,42,2,1,4980,"Chesterfield",FALSE,FALSE,TRUE,"bike",0,"English",31,"   0.00","Low","TRUE","FALSE","Less","FALSE"
"48",16267,"17:54:00","4/4/17","16:46",3,86.5,47,37,42,2,1,6267,"Easthampton",FALSE,FALSE,TRUE,"car",1615,"English",31," 538.00","LowMed","TRUE","TRUE","Less","FALSE"
"49",16406,"17:21:00","4/4/17","16:25",1,36.5,47,37,42,2,1,6406,"Chesterfield",FALSE,TRUE,TRUE,"car",1985,"English",31,"1985.00","High","TRUE","TRUE","Less","FALSE"
"50",16490,"18:33:00","4/4/17","18:03",2,87.5,47,37,42,2,1,6490,"Northampton",FALSE,FALSE,TRUE,"car",1394,"English",31," 697.00","Med","TRUE","TRUE","Less","TRUE"
"51",16941,"17:45:00","4/4/17","17:10",1,58,47,37,42,2,1,6941,"Northampton",FALSE,FALSE,TRUE,"car",1716,"English",31,"1716.00","High","TRUE","TRUE","Less","TRUE"
"52",17557,"16:24:00","4/4/17","16:01",1,36,47,37,42,2,1,7557,"Northampton",FALSE,TRUE,FALSE,"car",1495,"English",31,"1495.00","High","TRUE","TRUE","Less","TRUE"
"53",18664,"18:12:00","4/4/17","17:27",1,31,47,37,42,2,1,8664,"Northampton",FALSE,FALSE,TRUE,"car",1113,"English",31,"1113.00","High","TRUE","TRUE","Less","TRUE"
"54",18727,"17:01:00","4/4/17","16:14",2,63.5,47,37,42,2,1,8727,"Northampton",FALSE,TRUE,TRUE,"car",700,"English",31," 350.00","LowMed","TRUE","TRUE","Less","TRUE"
"55",18834,"17:03:00","4/4/17","16:20",2,80,47,37,42,2,1,8834,"Easthampton",FALSE,TRUE,TRUE,"car",1380,"English",31," 690.00","Med","TRUE","TRUE","Less","FALSE"
"56",19186,"18:07:00","4/4/17","17:33",1,46.5,47,37,42,2,1,9186,"Northampton",FALSE,TRUE,FALSE,"car",0,"English",31,"   0.00","Low","TRUE","TRUE","Less","TRUE"
"57",19235,"17:22:00","4/4/17","16:34",1,47.5,47,37,42,2,1,9235,"Temp",FALSE,FALSE,TRUE,"bus",828,"English",31," 828.00","Med","TRUE","FALSE","Less","FALSE"
"58",19236,"17:24:00","4/4/17","16:31",3,79.5,47,37,42,2,1,9236,"Northampton",FALSE,FALSE,TRUE,"car",1105,"English",31," 368.00","LowMed","TRUE","TRUE","Less","TRUE"
"59",19445,"16:53:00","4/4/17","16:18",1,55.5,47,37,42,2,1,9445,"Easthampton",FALSE,FALSE,TRUE,"car",150,"English",31," 150.00","Low","TRUE","TRUE","Less","FALSE"
"60",19670,"19:02:00","4/4/17","18:31",2,100,47,37,42,2,1,9670,"Northampton",FALSE,FALSE,FALSE,"bus",1400,"English",31," 700.00","Med","TRUE","FALSE","Less","TRUE"
"61",19677,"18:04:00","4/4/17","17:31",1,56,47,37,42,2,1,9677,"Northampton",FALSE,FALSE,TRUE,"car",500,"English",31," 500.00","LowMed","TRUE","TRUE","Less","TRUE"
"62",19750,"18:08:00","4/4/17","17:22",1,45,47,37,42,2,1,9750,"Cummington",FALSE,FALSE,TRUE,"car",1000,"English",31,"1000.00","MedHigh","TRUE","TRUE","Less","FALSE"
"63",19783,"16:41:00","4/4/17","16:08",3,90.5,47,37,42,2,1,9783,"Easthampton",FALSE,FALSE,TRUE,"car",3047,"English",31,"1016.00","MedHigh","TRUE","TRUE","Less","FALSE"
"64",19910,"17:06:00","4/4/17","16:22",4,97.5,47,37,42,2,1,9910,"Easthampton",FALSE,FALSE,FALSE,"car",2499,"English",31," 625.00","Med","TRUE","TRUE","Less","FALSE"
"65",10190,"12:14:00","4/5/17","11:23",5,167.5,53,37,45,3,1,190,"Northampton",FALSE,FALSE,FALSE,"car",1123,"English",43," 225.00","Low","TRUE","TRUE","Above","TRUE"
"66",11003,"12:45:00","4/5/17","11:48",1,53,53,37,45,3,1,1003,"Northampton",FALSE,FALSE,TRUE,"car",931,"Spanish",43," 931.00","MedHigh","FALSE","TRUE","Above","TRUE"
"67",11434,"11:14:00","4/5/17","11:00",1,43.5,53,37,45,3,1,1434,"Northampton",FALSE,FALSE,TRUE,"car",899,"English",43," 899.00","MedHigh","TRUE","TRUE","Above","TRUE"
"68",11442,"13:56:00","4/5/17","12:54",2,84,53,37,45,3,1,1442,"Goshen",FALSE,TRUE,TRUE,"car",1595,"English",43," 798.00","Med","TRUE","TRUE","Above","FALSE"
"69",11916,"14:10:00","4/5/17","12:57",2,114.5,53,37,45,3,1,1916,"Northampton",FALSE,TRUE,TRUE,"car",1591.49,"English",43," 796.00","Med","TRUE","TRUE","Above","TRUE"
"70",11947,"12:57:00","4/5/17","11:55",2,77.5,53,37,45,3,1,1947,"Northampton",FALSE,TRUE,TRUE,"walk",1277,"English",43," 638.00","Med","TRUE","FALSE","Above","TRUE"
"71",11998,"13:28:00","4/5/17","12:20",1,66,53,37,45,3,1,1998,"Northampton",FALSE,FALSE,FALSE,"car",1120,"English",43,"1120.00","High","TRUE","TRUE","Above","TRUE"
"72",13264,"13:04:00","4/5/17","11:58",5,131.5,53,37,45,3,1,3264,"Goshen",FALSE,FALSE,TRUE,"car",2984,"English",43," 597.00","LowMed","TRUE","TRUE","Above","FALSE"
"73",13371,"14:01:00","4/5/17","13:06",1,31.5,53,37,45,3,1,3371,"Northampton",FALSE,FALSE,TRUE,"walk",0,"English",43,"   0.00","Low","TRUE","FALSE","Above","TRUE"
"74",13703,"12:28:00","4/5/17","11:43",1,70.5,53,37,45,3,1,3703,"Southampton",FALSE,FALSE,TRUE,"car",1123,"English",43,"1123.00","High","TRUE","TRUE","Above","FALSE"
"75",15579,"13:40:00","4/5/17","12:24",2,76.5,53,37,45,3,1,5579,"Hatfield",FALSE,FALSE,TRUE,"car",1890,"English",43," 945.00","MedHigh","TRUE","TRUE","Above","FALSE"
"76",15864,"13:29:00","4/5/17","12:21",1,45,53,37,45,3,1,5864,"Northampton",FALSE,FALSE,TRUE,"car",998,"English",43," 998.00","MedHigh","TRUE","TRUE","Above","TRUE"
"77",15909,"13:47:00","4/5/17","12:49",2,51.5,53,37,45,3,1,5909,"Northampton",FALSE,TRUE,TRUE,"car",893,"English",43," 446.00","LowMed","TRUE","TRUE","Above","TRUE"
"78",16057,"11:47:00","4/5/17","11:13",5,106.5,53,37,45,3,1,6057,"Northampton",FALSE,FALSE,TRUE,"walk",2200,"Spanish",43," 440.00","LowMed","FALSE","FALSE","Above","TRUE"
"79",16317,"11:16:00","4/5/17","11:01",1,34.5,53,37,45,3,1,6317,"Northampton",FALSE,FALSE,FALSE,"car",1585,"English",43,"1585.00","High","TRUE","TRUE","Above","TRUE"
"80",16337,"14:21:00","4/5/17","13:46",2,79.5,53,37,45,3,1,6337,"Northampton",FALSE,TRUE,TRUE,"car",1060,"English",43," 530.00","LowMed","TRUE","TRUE","Above","TRUE"
"81",16387,"13:48:00","4/5/17","12:53",1,51,53,37,45,3,1,6387,"Easthampton",FALSE,FALSE,TRUE,"car",550,"English",43," 550.00","LowMed","TRUE","TRUE","Above","FALSE"
"82",16414,"14:14:00","4/5/17","13:35",2,79,53,37,45,3,1,6414,"South Hadley",FALSE,TRUE,TRUE,"car",1643,"English",43," 822.00","Med","TRUE","TRUE","Above","FALSE"
"83",17821,"11:34:00","4/5/17","11:03",6,146.5,53,37,45,3,1,7821,"South Hadley",FALSE,FALSE,TRUE,"car",2471,"English",43," 412.00","LowMed","TRUE","TRUE","Above","FALSE"
"84",18291,"13:51:00","4/5/17","12:40",5,153,53,37,45,3,1,8291,"Northampton",FALSE,FALSE,TRUE,"car",2573,"Spanish",43," 515.00","LowMed","FALSE","TRUE","Above","TRUE"
"85",18622,"11:52:00","4/5/17","11:17",1,37,53,37,45,3,1,8622,"Hatfield",FALSE,FALSE,TRUE,"car",194,"English",43," 194.00","Low","TRUE","TRUE","Above","FALSE"
"86",19152,"12:33:00","4/5/17","11:46",1,54,53,37,45,3,1,9152,"Northampton",FALSE,FALSE,TRUE,"walk",500,"English",43," 500.00","LowMed","TRUE","FALSE","Above","TRUE"
"87",19512,"13:17:00","4/5/17","12:28",1,25.5,53,37,45,3,1,9512,"Northampton",FALSE,FALSE,TRUE,"car",600,"English",43," 600.00","LowMed","TRUE","TRUE","Above","TRUE"
"88",19632,"12:26:00","4/5/17","11:42",1,37,53,37,45,3,1,9632,"Southampton",FALSE,FALSE,TRUE,"car",921,"English",43," 921.00","MedHigh","TRUE","TRUE","Above","FALSE"
"89",19643,"13:07:00","4/5/17","12:00",3,99.5,53,37,45,3,1,9643,"Hatfield",FALSE,FALSE,TRUE,"car",1300,"English",43," 433.00","LowMed","TRUE","TRUE","Above","FALSE"
"90",19805,"13:18:00","4/5/17","12:11",3,81.5,53,37,45,3,1,9805,"Northampton",FALSE,FALSE,TRUE,"walk",1300,"Spanish",43," 433.00","LowMed","FALSE","FALSE","Above","TRUE"
"91",19846,"13:17:00","4/5/17","12:13",1,31.5,53,37,45,3,1,9846,"Temp",FALSE,FALSE,TRUE,"walk",190,"English",43," 190.00","Low","TRUE","FALSE","Above","FALSE"
"92",19876,"13:15:00","4/5/17","12:09",4,98,53,37,45,3,1,9876,"Northampton",FALSE,FALSE,TRUE,"car",1569,"Spanish",43," 392.00","LowMed","FALSE","TRUE","Above","TRUE"
"93",19909,"14:06:00","4/5/17","13:01",1,46,53,37,45,3,1,9909,"Northampton",FALSE,FALSE,TRUE,"car",1150,"English",43,"1150.00","High","TRUE","TRUE","Above","TRUE"
"94",19911,"12:37:00","4/5/17","11:52",3,86,53,37,45,3,1,9911,"Easthampton",FALSE,FALSE,TRUE,"car",983,"English",43," 328.00","Low","TRUE","TRUE","Above","FALSE"
"95",19922,"11:33:00","4/5/17","11:07",1,74,53,37,45,3,1,9922,"Temp",FALSE,FALSE,TRUE,"car",37,"English",43,"  37.00","Low","TRUE","TRUE","Above","FALSE"
"96",19923,"12:22:00","4/5/17","11:26",5,166,53,37,45,3,1,9923,"Easthampton",FALSE,FALSE,FALSE,"car",194,"English",43,"  39.00","Low","TRUE","TRUE","Above","FALSE"
"97",11158,"18:22:00","4/6/17","17:12",5,138.5,42,37,39,4,1,1158,"Easthampton",FALSE,TRUE,TRUE,"car",3440,"English",36," 688.00","Med","TRUE","TRUE","Average","FALSE"
"98",11330,"18:48:00","4/6/17","18:10",5,172.5,42,37,39,4,1,1330,"Easthampton",FALSE,TRUE,TRUE,"car",3265,"English",36," 653.00","Med","TRUE","TRUE","Average","FALSE"
"99",11381,"17:22:00","4/6/17","17:08",1,64,42,37,39,4,1,1381,"Northampton",FALSE,FALSE,TRUE,"car",988,"English",36," 988.00","MedHigh","TRUE","TRUE","Average","TRUE"
"100",11733,"19:02:00","4/6/17","18:37",1,45.5,42,37,39,4,1,1733,"Hatfield",FALSE,FALSE,FALSE,"car",1541,"English",36,"1541.00","High","TRUE","TRUE","Average","FALSE"
"101",14509,"17:48:00","4/6/17","17:09",3,76,42,37,39,4,1,4509,"Northampton",FALSE,FALSE,TRUE,"car",2500,"English",36," 833.00","Med","TRUE","TRUE","Average","TRUE"
"102",14565,"17:59:00","4/6/17","17:20",1,42,42,37,39,4,1,4565,"Northampton",FALSE,FALSE,TRUE,"car",1301,"Chinese",36,"1301.00","High","FALSE","TRUE","Average","TRUE"
"103",15298,"17:16:00","4/6/17","16:44",4,105,42,37,39,4,1,5298,"Northampton",TRUE,FALSE,TRUE,"car",2750,"Spanish",36," 688.00","Med","FALSE","TRUE","Average","TRUE"
"104",15336,"16:52:00","4/6/17","16:28",3,89,42,37,39,4,1,5336,"Northampton",FALSE,FALSE,TRUE,"car",2231,"English",36," 744.00","Med","TRUE","TRUE","Average","TRUE"
"105",16908,"18:37:00","4/6/17","17:58",1,60,42,37,39,4,1,6908,"Northampton",FALSE,FALSE,FALSE,"car",877,"English",36," 877.00","Med","TRUE","TRUE","Average","TRUE"
"106",17269,"16:36:00","4/6/17","16:03",4,114.5,42,37,39,4,1,7269,"Northampton",TRUE,FALSE,TRUE,"car",2057,"Spanish",36," 514.00","LowMed","FALSE","TRUE","Average","TRUE"
"107",17664,"17:10:00","4/6/17","16:52",1,17.5,42,37,39,4,1,7664,"Northampton",FALSE,TRUE,TRUE,"car",1265,"English",36,"1265.00","High","TRUE","TRUE","Average","TRUE"
"108",18315,"18:32:00","4/6/17","17:37",4,120,42,37,39,4,1,8315,"Easthampton",FALSE,FALSE,FALSE,"car",1800,"English",36," 450.00","LowMed","TRUE","TRUE","Average","FALSE"
"109",18429,"17:12:00","4/6/17","16:31",5,98,42,37,39,4,1,8429,"Easthampton",FALSE,TRUE,TRUE,"car",3960,"English",36," 792.00","Med","TRUE","TRUE","Average","FALSE"
"110",18581,"18:47:00","4/6/17","18:19",1,37.5,42,37,39,4,1,8581,"Easthampton",FALSE,FALSE,TRUE,"car",198,"English",36," 198.00","Low","TRUE","TRUE","Average","FALSE"
"111",18666,"18:12:00","4/6/17","17:21",2,63,42,37,39,4,1,8666,"Easthampton",FALSE,FALSE,FALSE,"car",1200,"Arabic",36," 600.00","LowMed","FALSE","TRUE","Average","FALSE"
"112",18810,"17:42:00","4/6/17","17:08",1,58,42,37,39,4,1,8810,"Northampton",FALSE,FALSE,TRUE,"walk",487,"English",36," 487.00","LowMed","TRUE","FALSE","Average","TRUE"
"113",18826,"16:19:00","4/6/17","16:00",1,46.5,42,37,39,4,1,8826,"Northampton",FALSE,FALSE,TRUE,"car",929,"English",36," 929.00","MedHigh","TRUE","TRUE","Average","TRUE"
"114",18940,"17:37:00","4/6/17","16:58",7,175.5,42,37,39,4,1,8940,"Easthampton",TRUE,TRUE,TRUE,"car",4212,"English",36," 602.00","LowMed","TRUE","TRUE","Average","FALSE"
