Time,Avg_waitCheckIn,Avg_waitGetFood
11:00,27,35
11:01,27,35
11:02,27,35
11:03,27,35
11:04,27,35
11:05,27,35
11:06,27,36
11:07,27,36
11:08,27,36
11:09,27,36
11:10,27,35
11:11,27,35
11:12,27,35
11:13,27,35
11:14,27,36
11:15,27,36
11:16,27,36
11:17,27,36
11:18,27,36
11:19,28,37
11:20,28,37
11:21,28,37
11:22,28,37
11:23,28,37
11:24,28,37
11:25,28,37
11:26,28,37
11:27,28,37
11:28,28,37
11:29,28,38
11:30,28,37
11:31,27,38
11:32,28,38
11:33,28,38
11:34,28,38
11:35,28,38
11:36,28,38
11:37,28,38
11:38,28,38
11:39,27,38
11:40,27,38
11:41,27,38
11:42,27,38
11:43,27,39
11:44,26,39
11:45,26,39
11:46,26,39
11:47,26,38
11:48,25,38
11:49,25,38
11:50,25,38
11:51,25,38
11:52,25,38
11:53,25,38
11:54,25,38
11:55,24,38
11:56,23,38
11:57,23,38
11:58,23,37
11:59,23,37
12:00,22,37
12:01,22,37
12:02,22,37
12:03,21,37
12:04,21,37
12:05,21,37
12:06,21,37
12:07,21,37
12:08,20,36
12:09,20,35
12:10,19,35
12:11,19,35
12:12,19,35
12:13,19,35
12:14,19,34
12:15,19,34
12:16,18,34
12:17,18,34
12:18,18,34
12:19,18,34
12:20,17,34
12:21,16,34
12:22,16,33
12:23,16,33
12:24,15,33
12:25,15,32
12:26,15,32
12:27,15,32
12:28,15,32
12:29,15,31
12:30,14,32
12:31,14,32
12:32,13,32
12:33,13,31
12:34,13,31
12:35,12,31
12:36,11,31
12:37,11,31
12:38,12,31
12:39,11,30
12:40,11,30
12:41,11,30
12:42,11,29
12:43,10,29
12:44,10,29
12:45,10,28
12:46,10,28
12:47,10,28
12:48,9,28
12:49,9,28
12:50,9,28
12:51,9,28
12:52,9,29
12:53,9,28
12:54,9,27
12:55,9,28
12:56,9,28
12:57,9,28
12:58,9,28
12:59,9,28
13:00,9,28
13:01,9,29
13:02,9,29
13:03,9,30
13:04,9,30
13:05,9,30
13:06,9,29
13:07,9,29
13:08,9,29
13:09,9,29
13:10,9,29
13:11,9,28
13:12,9,28
13:13,9,28
13:14,9,28
13:15,9,28
13:16,9,29
13:17,9,29
13:18,9,30
13:19,9,30
13:20,9,30
13:21,9,31
13:22,10,31
13:23,10,30
13:24,10,30
13:25,10,30
13:26,10,30
13:27,10,31
13:28,10,31
13:29,10,31
13:30,10,31
13:31,10,31
13:32,10,31
13:33,10,32
13:34,10,32
13:35,10,32
13:36,10,32
13:37,10,33
13:38,10,33
13:39,10,33
13:40,10,33
13:41,10,33
13:42,10,34
13:43,11,33
13:44,11,34
13:45,11,34
13:46,11,34
13:47,11,34
13:48,12,35
13:49,12,35
13:50,12,35
13:51,12,35
13:52,12,35
13:53,12,36
13:54,12,36
13:55,12,36
13:56,12,35
13:57,12,35
13:58,12,36
13:59,12,36
14:00,12,37
